역사자원	 원도심	 일제유물 및 근대산업	 내항 호안시설	 문화유적	0	0	0	 식민화 중심공간	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850679110584426473!2y14128437521745354701!2m2!1i
역사자원	 원도심	 일제유물 및 근대산업	 구)일본18은행 군산지점	 문화유적	 시간여행마을	0	0	 식민화중심공간	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850678930576612923!2y15201692860976658519!2m2!1i
역사자원	 원도심	 일제유물 및 근대산업	 구)군산세관 본관	 문화유적	 시간여행마을	0	0	 식민화중심공간	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850678931038450039!2y12980977508733911262!2m2!1i
역사자원	 원도심	 일제유물 및 근대산업	 구)제1수원지 제방	 문화유적	0	0	0	 식민화중심공간	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850675895553648233!2y16082429401508901617!2m2!1i
역사자원	 원도심	 일제유물 및 근대산업	 동국사 대웅전	 문화유적	 시간여행마을	0	 대표검색	 양면의 공간	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850678904751985419!2y2164131744073398507!2m2!1i
역사자원	 원도심	 일제유물 및 근대산업	 구)조선은행 군산지점	 문화유적	 시간여행마을	0	0	 식민화중심공간	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850678929228273663!2y55940716990757830!2m2!1i
역사자원	 원도심	 일제유물 및 근대산업	 신흥동 일본식가옥	 문화유적	 시간여행마을	0	0	 식민화중심공간	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850678950412856983!2y10810417310303303565!2m2!1i
역사자원	 원도심	 일제유물 및 근대산업	 해망굴	 문화유적	 시간여행마을	0	0	 식민화중심공간	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850678940944119723!2y7739789863876278797!2m2!1i
역사자원	 원도심	 일제유물 및 근대산업	 내항 뜬다리부두	 문화유적	 시간여행마을	0	0	 식민화중심공간	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850679103689130757!2y6127881283565070495!2m2!1i
역사자원	 원도심	 일제유물 및 근대산업	 구)전주지방법원 군산지청 관사	 문화유적	0	0	0	 식민화중심공간	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850680657254147181!2y5948252810108064380!2m2!1i
역사자원	 원도심	 항일운동	 근대역사박물관	0	 시간여행마을	 관광명소	0	 항일 중심공간	 https://www.google.co.kr/maps/preview/review/listentitiesreviews?authuser=0&hl=ko&gl=kr&pb=!1m2!1y3850678930853751963!2y12914505666372694680!2m2!1i
